Circuit,WindSustained,GustSustained,Thresholds,FPI,Reasons,Month,pspsActivated
ENERGY,7.6,16.1,31/46,3.22,,NOV,0
SAND CANYON,14.5,15.1,31/46,3.02,,NOV,0
DUKE,9.8,17.2,30/46,3.44,,NOV,0
GRAPEVINE,8.9,22,31/46,4.4,,NOV,0
NAPOLEON,10.6,16.7,31/45,3.34,,NOV,0
FROZEN,14.3,19.9,31/46,3.98,,NOV,0
CUDDEBACK,9.2,20.6,23/37,4.12,,NOV,0
METTLER,10,15.9,23/37,3.18,,NOV,0
STEEL,11,16,30/43,3.2,,NOV,0
ANTON,8.8,19.6,31/46,3.92,,NOV,0
ZONE,12.2,19.5,31/46,3.9,,NOV,0
TANAGER,10.6,16.5,31/44,3.3,,NOV,0
CONDOR,13.8,15.8,31/46,3.16,,NOV,0
RAINBOW,7.5,16.8,31/46,3.36,,NOV,0
BALCOM,10.1,19.5,31/46,3.9,,NOV,0
CUDDEBACK,7.1,21.4,23/37,4.28,,NOV,0
DYSART,14.3,16,31/46,3.2,,NOV,0
SADDLEBACK,14.6,17.8,31/46,3.56,,NOV,0
BONNEVILLE,10,21.6,28/40,4.32,,NOV,0
EASTER,12.9,18.2,29/41,3.64,,NOV,0
SAVORY,12,15.5,29/42,3.1,,NOV,0
DARTMOUTH,8.1,19.2,31/45,3.84,,NOV,0
METTLER,7,16.2,23/37,3.24,,NOV,0
GINGER,13.9,15.8,28/40,3.16,,NOV,0
GNATCATCHER,9.7,20,31/46,4,,NOV,0
ATENTO,8.3,18.3,31/46,3.66,,NOV,0
LAUDA,8.7,17.1,31/45,3.42,,NOV,0
STEEL,14.4,19.6,30/43,3.92,,NOV,0
GILMAN,11.9,21.1,31/45,4.22,,NOV,0
COBRA,9.8,18,31/42,3.6,,NOV,0
BLUE CUT,9.1,16.4,31/46,3.28,,NOV,0
RED BOX,11.5,17.8,31/46,3.56,,NOV,0
WOBEGONE,8.9,18.5,28/40,3.7,,NOV,0
TAHQUITZ,13.1,22,31/46,4.4,,NOV,0
RAINBOW,9.3,16.2,31/46,3.24,,NOV,0
PURCHASE,13.7,20.4,31/46,4.08,,NOV,0
TIMBER CANYON,7.9,16,31/46,3.2,,NOV,0
PHEASANT,7.6,21,31/45,4.2,,NOV,0
SOGGY,11.2,17.3,28/40,3.46,,NOV,0
HONEYCRISP,9.5,15.2,24/42,3.04,,NOV,0
GREAT SALT,7.3,18.2,29/42,3.64,,NOV,0
ESTABAN,12.5,15.7,31/45,3.14,,NOV,0
CASTRO,10.1,18.1,30/46,3.62,,NOV,0
BONNEVILLE,12.5,21.3,28/40,4.26,,NOV,0
NORTHPARK,12,20.9,31/46,4.18,,NOV,0
OLIVER,11.8,15.5,29/42,3.1,,NOV,0
CORSAIR,12.8,21.6,30/42,4.32,,NOV,0
LOCKNER,9.5,19.4,31/45,3.88,,NOV,0
STAR ROCK,7.2,15,31/44,3,,NOV,0
OAK KNOLL,14.7,21.9,31/46,4.38,,NOV,0
LOPEZ,10.2,20.3,31/46,4.06,,NOV,0
FLAKE,14.3,19.2,28/36,3.84,,NOV,0
CUTHBERT,8,21.3,31/46,4.26,,NOV,0
SONOMA,11.9,17.7,28/39,3.54,,NOV,0
TAIWAN,10.9,20.4,31/46,4.08,,NOV,0
EASTER,9.7,15.1,29/41,3.02,,NOV,0
DAVENPORT,14.4,20,31/46,4,,NOV,0
DAVENPORT,13.9,15,31/46,3,,NOV,0
FINGAL,13.7,17.2,31/46,3.44,,NOV,0
ROUNDEL,14.3,19.2,31/44,3.84,,NOV,0
SHOVEL,10,17.2,25/40,3.44,,NOV,0
STUBBY,8,15.9,31/46,3.18,,NOV,0
STUBBY,11.3,20.9,31/46,4.18,,NOV,0
STORES,9,16.3,31/46,3.26,,NOV,0
GUITAR,13.1,17.2,31/46,3.44,,NOV,0
TAPO,7.9,20.3,31/46,4.06,,NOV,0
BING,7.2,15.4,31/45,3.08,,NOV,0
SCHMIDT,9.9,18.8,31/44,3.76,,NOV,0
PICK,9,20.9,31/46,4.18,,NOV,0
AMETHYST,8.7,16.1,31/46,3.22,,NOV,0
CALSTATE,12.5,20,31/46,4,,NOV,0
MODJESKA,12.3,20.8,30/44,4.16,,NOV,0
VETERANS,12.4,21.5,31/46,4.3,,NOV,0
MIDDLE ROAD,8.6,15.9,26/42,3.18,,NOV,0
PYLE,13.8,19.6,28/44,3.92,,NOV,0
ANGUS,8.4,21.7,31/46,4.34,,NOV,0
ZONE,14.1,15.1,31/46,3.02,,NOV,0
NAPA,9.7,15.7,28/39,3.14,,NOV,0
ESTABAN,13.6,21.2,31/45,4.24,,NOV,0
PASCAL,13.4,16.1,31/44,3.22,,NOV,0
VIENTO,13.9,21,31/46,4.2,,NOV,0
RUSTIC,13.9,18.7,31/46,3.74,,NOV,0
ENERGY,10.3,19.7,31/46,3.94,,NOV,0
BIG ROCK,14.5,20.4,31/46,4.08,,NOV,0
LAZARO,7.5,21.3,28/40,4.26,,NOV,0
CHAWA,7,20.3,31/46,4.06,,NOV,0
IMPALA,10.7,21.4,31/46,4.28,,NOV,0
RMV 1243,14.3,19.3,31/46,3.86,,NOV,0
BOOTLEGGER,14.7,16.5,31/46,3.3,,NOV,0
LOPEZ,9.4,21.4,31/46,4.28,,NOV,0
SAND CANYON,7.9,16.6,31/46,3.32,,NOV,0
JORDAN,14.4,19.7,27/46,3.94,,NOV,0
ANGUS,8.1,18.4,31/46,3.68,,NOV,0
ZONE,7,15.7,31/46,3.14,,NOV,0
CALSTATE,11.2,17.2,31/46,3.44,,NOV,0
VARGAS,10.7,22,31/46,4.4,,NOV,0
GILLIBRAND,12,17.9,31/46,3.58,,NOV,0
NAPOLEON,13.6,19.4,31/45,3.88,,NOV,0
DUKE,12.2,20.8,30/46,4.16,,NOV,0
MORELLO,12.1,15.5,31/45,3.1,,NOV,0
ANTON,14.3,19.1,31/46,3.82,,NOV,0
GABBERT,11.1,20.4,31/46,4.08,,NOV,0
COLLINS,14,17.3,31/43,3.46,,NOV,0
ARROWHEAD,12.8,15.7,40/58,3.14,,NOV,0
TAPO,8.7,15.8,31/46,3.16,,NOV,0
LOUCKS,14,21.3,31/46,4.26,,NOV,0
ACOSTA,11.6,19.1,31/46,3.82,,NOV,0
RANIER,11.6,16.2,31/45,3.24,,NOV,0
POWER,7,20.9,31/46,4.18,,NOV,0
DELUZ,13.1,17.5,27/44,3.5,,NOV,0
ARLENE,10.1,15.5,31/46,3.1,,NOV,0
RACER,14.2,16.7,31/46,3.34,,NOV,0
ZONE,9.3,16.3,31/46,3.26,,NOV,0
VERA CRUZ,14.6,17.3,28/42,3.46,,NOV,0
TWIN LAKES,7.6,20.2,31/45,4.04,,NOV,0
BIG ROCK,9,21.9,31/46,4.38,,NOV,0
FINGAL,9.2,16.1,31/46,3.22,,NOV,0
GUNSITE,14.1,17.7,31/46,3.54,,NOV,0
FINGAL,8.4,20.5,31/46,4.1,,NOV,0
GUNSITE,12.5,19.7,31/46,3.94,,NOV,0
SAND CANYON,8.6,15,31/46,3,,OCT,0
CUTHBERT,8.4,18.2,31/46,3.64,,OCT,0
CUTHBERT,15,21.1,31/46,4.22,,OCT,0
CUTHBERT,10,20.2,31/46,4.04,,OCT,0
DAVENPORT,10.8,15.5,31/46,3.1,,OCT,0
LOUCKS,13.1,20.4,31/46,4.08,,OCT,0
SHOVEL,10.8,20,25/40,4,,OCT,0
PLATEAU,10.1,21,31/46,4.2,,OCT,0
BIG ROCK,7.7,19.7,31/46,3.94,,OCT,0
ENERGY,12.6,17.7,31/46,3.54,,OCT,0
GUITAR,8,19.5,31/46,3.9,,OCT,0
ENERGY,14.9,19.3,31/45,3.86,,OCT,0
BIG ROCK,10.5,20.1,31/46,4.02,,OCT,0
BLACKHILLS,12.2,18.6,31/46,3.72,,OCT,0
LARCH,9.9,21.7,31/46,4.34,,OCT,0
CABANA,9.1,18.7,31/46,3.74,,OCT,0
SWEETWATER,11.5,17.1,31/46,3.42,,OCT,0
NORTHPARK,11.8,17.3,31/46,3.46,,OCT,0
VARGAS,12.6,21.2,31/46,4.24,,OCT,0
CALSTATE,13.4,20.5,31/46,4.1,,OCT,0
TWIN LAKES,8.6,17,31/45,3.4,,OCT,0
ANTON,11.8,20.2,31/46,4.04,,OCT,0
TWIN LAKES,8.6,21.5,31/46,4.3,,OCT,0
CALGROVE,7.2,20.1,31/46,4.02,,OCT,0
ENERGY,10.6,17.6,31/46,3.52,,OCT,0
ANTON,14.8,20.3,31/46,4.06,,OCT,0
CALGROVE,10.8,15.8,31/46,3.16,,OCT,0
BELPAC,11.5,21.3,31/42,4.26,,OCT,0
SAGINAW,10.3,21.4,24/40,4.28,,OCT,0
FROZEN,7.2,17.6,31/46,3.52,,OCT,0
GRAPEVINE PEAK,8,20,31/46,4,,OCT,0
CONDOR,7.3,20,31/46,4,,OCT,0
METTLER,11.2,17.9,23/37,3.58,,OCT,0
CANEBRAKE,13,20.7,31/46,4.14,,OCT,0
CONDOR,10.5,17.3,31/46,3.46,,OCT,0
GNATCATCHER,12.3,19.2,31/46,3.84,,OCT,0
GNATCATCHER,9.1,21,31/46,4.2,,OCT,0
CONDOR,9.1,19.7,31/46,3.94,,OCT,0
SAND CANYON,10.2,20.3,31/46,4.06,,OCT,0
HILLFIELD,10.1,20.5,31/46,4.1,,OCT,0
COBRA,14.4,17.3,31/42,3.46,,OCT,0
LOUCKS,9.4,20.6,31/46,4.12,,OCT,0
SHOVEL,11.7,21.6,31/46,4.32,,OCT,0
ARLENE,7.1,17.6,31/46,3.52,,OCT,0
HILLFIELD,13.5,17.5,31/46,3.5,,OCT,0
RACER,15,19,31/46,3.8,,OCT,0
JULIUS,8.5,15.2,31/46,3.04,,OCT,0
MARCUS,10.4,20.8,31/46,4.16,,OCT,0
SAND CANYON,8.9,19,31/46,3.8,,OCT,0
DAVENPORT,14.9,21,31/46,4.2,,OCT,0
MOCCASIN,10.6,16.5,31/46,3.3,,OCT,0
TOGA,13.4,17.1,31/41,3.42,,OCT,0
ANACONDA,12.8,21.6,31/42,4.32,,OCT,0
CAESAR,14.7,17.5,31/45,3.5,,OCT,0
PICK,12.6,16.2,31/46,3.24,,OCT,0
PYTHON,13.7,19,31/46,3.8,,OCT,0
PYTHON,10.5,16.4,31/46,3.28,,OCT,0
RED BOX,9.5,15.9,31/45,3.18,,OCT,0
CLARINET,14,21.9,31/46,4.38,,OCT,0
VETERANS,14,20.1,31/46,4.02,,OCT,0
CALGROVE,13.5,18.2,31/46,3.64,,OCT,0
SAND CANYON,10.2,19.6,31/46,3.92,,OCT,0
DE MILLE,8.1,16.3,31/46,3.26,,OCT,0
LOPEZ,9.2,18.7,31/46,3.74,,OCT,0
CUTHBERT,11.1,19.6,31/46,3.92,,OCT,0
KINSEY,8.8,21.8,31/46,4.36,,OCT,0
BOUQUET,11.1,19.4,31/46,3.88,,OCT,0
DAVENPORT,7.6,15.1,31/46,3.02,,OCT,0
ESCONDIDO,10,16.8,31/46,3.36,,OCT,0
TUBA,8.3,19,31/46,3.8,,OCT,0
DIAMONDBACK,8.9,21,31/42,4.2,,OCT,0
LYONS,14.5,21.5,31/46,4.3,,OCT,0
ENERGY,12.1,21.6,31/46,4.32,,OCT,0
GUITAR,13.6,16.9,31/46,3.38,,OCT,0
ENERGY,10.2,16.4,31/46,3.28,,OCT,0
BIG ROCK,14.1,17.8,31/46,3.56,,OCT,0
ENERGY,11.9,20.9,31/46,4.18,,OCT,0
GUITAR,11,20.9,31/46,4.18,,OCT,0
VERA CRUZ,10.3,19.1,28/42,3.82,,OCT,0
