Circuit,WindSustained,GustSustained,Thresholds,FPI,Reasons,Month,pspsActivated
BLACKHILLS,12.2,18.6,31/46,3.72,,OCT,0
GNATCATCHER,9.1,21,31/46,4.2,,OCT,0
ENERGY,11.9,20.9,31/46,4.18,,OCT,0
ECHO,26,43.3,31/46,14.36,High Wind Trend - Exceeded FPI,DEC,1
LARCH,41.2,56.3,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
WINERY,11.4,17.4,29/42,3.48,,DEC,0
STAR ROCK,7.2,15,31/44,3,,NOV,0
GOLDSMITH,7.8,15.7,31/45,3.14,,OCT,0
MACIEL,11.2,21.4,27/42,4.28,,OCT,0
RAINBOW,28.1,38,31/46,12.5,High Wind Trend - Exceeded FPI,JAN,1
BELPAC,30.9,43.1,31/42,12.6,Exceeded Threshold - Exceeded FPI,JAN,1
TOWNSHIP,15.4,44.1,31/45,12,High Wind Trend - Exceeded FPI,DEC,1
LOPEZ,10.2,20.3,31/46,4.06,,NOV,0
CONDOR,22.8,44.4,31/46,13.1,High Wind Trend - Exceeded FPI,JAN,1
STEEL,8.8,17.9,30/43,3.58,,DEC,0
BIG ROCK,9,21.9,31/46,4.38,,NOV,0
DUKE,29.4,47.6,30/46,13.8,Exceeded Threshold - Exceeded FPI,DEC,1
DAVENPORT,31.6,50.1,31/46,12.8,Exceeded Threshold - Exceeded FPI,JAN,1
PYTHON,13.7,19,31/46,3.8,,OCT,0
HILLFIELD,13,19.7,31/46,3.94,,DEC,0
Kuehner,7.6,19.5,31/46,3.9,,DEC,0
TANAGER,24.3,34.3,31/44,12.18,High Wind Trend - Exceeded FPI,NOV,1
ESTABAN,15,20.9,31/45,4.18,,DEC,0
TAPO,12.3,19.1,31/46,3.82,,OCT,0
TWIN LAKES,33.8,51.4,31/45,12.91,Exceeded Threshold - Exceeded FPI,DEC,1
CALSTATE,10,18.6,31/46,3.72,,DEC,0
ESTABAN,12.5,15.7,31/45,3.14,,NOV,0
METTLER,7,16.2,23/37,3.24,,NOV,0
RED BOX,38,49,31/46,13.02,Exceeded Threshold - Exceeded FPI,NOV,1
CALSTATE,9.6,15.6,31/46,3.12,,OCT,0
HILLFIELD,36,50.5,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
ARLENE,29.8,43.7,31/46,12.6,High Wind Trend - Exceeded FPI,JAN,1
ANGUS,9.3,16.4,31/46,3.28,,OCT,0
RUSTIC,13.3,59.55,31/46,12.49,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
FINGAL,26.8,53.1,31/46,12.17,Exceeded Threshold - Exceeded FPI,NOV,1
BADGER,36.7,53.9,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
GNATCATCHER,12.3,19.2,31/46,3.84,,OCT,0
ANGUS,8.1,18.4,31/46,3.68,,NOV,0
NEPAL,25.27,54.65,31/44,12.45,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
SADDLEBACK,31,46,31/46,12.11,Exceeded Threshold - Exceeded FPI,DEC,1
DYSART,31,46,31/46,12.11,Exceeded Threshold - Exceeded FPI,DEC,1
ENERGY,16.9,43.8,31/46,13.04,High Wind Trend - Exceeded FPI,NOV,1
BING,31.7,46.3,31/45,12,Exceeded Threshold - Exceeded FPI,JAN,1
NORTHPARK,8.3,19.9,31/46,3.98,,NOV,0
FORTUNE,30,51.4,31/45,12,Source Circuit De-Energized: Lauda,JAN,1
SONOMA,21,39.5,27.51/39.42,12.94,Exceeded Threshold - Exceeded FPI,DEC,1
TRAILKIMDALE,33.27,45.16,31/45,12.56,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
THACHER,9.6,20.6,29/46,4.12,,DEC,0
TIMBER CANYON,26.6,45.7,31/46,12.5,High Wind Trend - Exceeded FPI,JAN,1
PLATEAU,10.1,21,31/46,4.2,,OCT,0
VARGAS,18,41,31/46,12.9,High Wind Trend - Exceeded FPI,DEC,1
SAND,13.5,17.8,31/46,3.56,,OCT,0
CASTRO,10.1,18.1,30/46,3.62,,NOV,0
LOPEZ,20.41,41.87,31/46,12.55,Observed Hazard - Exceeded FPI,OCT,1
OAK KNOLL,26.9,54.7,31/46,12.19,Exceeded Threshold - Exceeded FPI,NOV,1
PHEASANT,37,51,31/45,12,Exceeded Threshold - Exceeded FPI,JAN,1
VIENTO,23,41,31/46,13.1,High Wind Trend - Exceeded FPI,NOV,1
RAINBOW,26.5,34.7,31/46,13.01,High Wind Trend - Exceeded FPI,NOV,1
ANTON,31,51,31/46,12.99,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
MOCCASIN,29,49,31/46,12.6,Exceeded Threshold - Exceeded FPI,JAN,1
TUFA,26,38,31/46,13.06,High Wind Trend - Exceeded FPI,NOV,1
STRATHERN,31.7,61.2,31/46,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
ZONE,7,16.4,31/46,3.28,,DEC,0
TANAGER,10.6,16.5,31/44,3.3,,NOV,0
CORSAIR,25,42.8,30/42,14.45,Exceeded Threshold - Exceeded FPI,DEC,1
FORTUNE,20.2,41.5,31/45,12.97,High Wind Trend - Exceeded FPI,DEC,1
CLUB OAKS,37.77,59.7,31/46,12.52,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
RAINBOW,28.1,46.6,31/46,12.95,High Wind Trend - Exceeded FPI,DEC,1
BIG ROCK,29.17,41.94,31/46,12.45,High Wind Trend - Exceeded FPI,JAN,1
CANEBRAKE,27,50.8,31/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
DAVENPORT,14.5,20.2,31/46,4.04,,OCT,0
LOCKNER,9.5,19.4,31/45,3.88,,NOV,0
ZONE,12.6,19.9,31/46,3.98,,OCT,0
CANAL,16.2,47.2,27/44,15.22,Exceeded Threshold - Exceeded FPI,DEC,1
ENERGY,24.5,40.7,31/46,12.99,High Wind Trend - Exceeded FPI,DEC,1
CHAWA,9.6,17.7,31/46,3.54,,DEC,0
POWER,27.4,58.7,31/46,8.97,Exceeded Threshold,NOV,1
SOGGY,13.4,18.7,28/40,3.74,,DEC,0
VARGAS,19,46,31/46,13.52,Exceeded Threshold - Exceeded FPI,JAN,1
ZONE,23.6,44.1,31/46,13.01,High Wind Trend - Exceeded FPI,NOV,1
BIG ROCK,9.9,20.1,31/46,4.02,,DEC,0
STORES,26.5,46.4,31/46,13.55,Exceeded Threshold - Exceeded FPI,NOV,1
