Circuit,time,FPI,WindSustained,GustSustained,Thresholds
BOOTLEGGER,10/23/2021 12:00,0,1.328860584,29.83904062,31/46
STEARNS,10/23/2021 12:00,0.242836725,0.194717972,29.88178223,31/46
Kuehner,10/23/2021 12:00,0.292719605,0.065087669,32.34871459,31/46
BONNEVILLE,10/23/2021 12:00,0,0.686248073,33.89722771,28/40
GILMAN,10/23/2021 12:00,0,0.255565031,28.64204116,31/45
PARINA,10/23/2021 12:00,0,0,36.50561161,28/36
FANO,10/23/2021 12:00,0,0,31.07857433,28/40
DE MILLE,10/23/2021 12:00,0.163535281,1.775234598,28.35613361,31/46
SADDLEBACK,10/23/2021 12:00,0.112229304,0,26.74847813,31/46
THACHER,10/23/2021 12:00,0.667011799,0.955769538,31.69131637,29/46
SANTORINI,10/23/2021 12:00,0,0.877618824,28.98773113,31/42
TAGGERT,10/23/2021 12:00,0,0.199605384,27.13666044,31/46
DYSART,10/23/2021 12:00,0,0.97743545,38.77425739,31/46
BIANCO,10/23/2021 12:00,0,0,28.650033,31/40
TOWNSHIP,10/23/2021 12:00,0.279366429,0,29.57830525,31/45
ROS,10/23/2021 12:00,0.045463378,0,31.74586586,27/39
BALCOM,10/23/2021 12:00,0.466405585,0,29.36068683,31/46
CASSIDY,10/23/2021 12:00,0.063667357,0,31.02480055,31/46
DONLON,10/23/2021 12:00,0.024094282,1.450644614,29.20282152,31/46
ICE HOUSE,10/23/2021 12:00,0,0.454543985,31.16345953,31/46
FORTUNE,10/23/2021 12:00,0.017992292,0,28.6148384,31/45
EASTER,10/23/2021 12:00,0,0.263999326,29.32942226,29/41
PATRICIA,10/23/2021 12:00,0.923313587,0,33.33433149,31/46
REJADA,10/23/2021 12:00,0,0.604468962,37.82173641,31/46
ATENTO,10/23/2021 12:00,0.210880482,0.185915268,30.19367063,31/46
ZENDA,10/23/2021 12:00,0.902823468,0.879550058,27.63445306,31/46
RANKIN,10/23/2021 12:00,0.074312521,0,35.46624147,31/46
GNATCATCHER,10/23/2021 12:00,0.226867284,0,24.41685621,31/46
FLYING D,10/23/2021 12:00,0,0,24.46307616,31/46
BENCH,10/23/2021 12:00,0,1.437096589,31.80858986,29/42
PINE COVE,10/23/2021 12:00,0,0.24278485,35.65165216,27/44
WINERY,10/23/2021 12:00,0.628429807,0.122318061,27.58406622,29/42
GINGER,10/23/2021 12:00,0.446239604,0,27.76123649,28/40
ANACONDA,10/23/2021 12:00,0.722266033,0,28.54283728,31/42
GLASSCOCK,10/23/2021 12:00,0.404913909,1.683185556,30.94207723,31/45
DARTMOUTH,10/23/2021 12:00,0,0.567749685,28.82761829,31/45
CLARINET,10/23/2021 12:00,0.245341415,0.200616445,28.3569981,31/46
STRATHERN,10/23/2021 12:00,0,0,30.10484843,31/46
BUCKHORN,10/23/2021 12:00,0,0,32.67038967,31/46
SAVORY,10/23/2021 12:00,0,0.291463526,27.64488167,29/42
ENCHANTED,10/23/2021 12:00,0.792006268,0,33.99160474,31/46
SAUNDERS,10/23/2021 12:00,0,0,31.92896412,27/44
RAINBOW,10/23/2021 12:00,0.183881452,0,29.54002284,31/46
FOOTHILL,10/23/2021 12:00,0,0.998296038,26.58586959,26/36
ALOLA #2,10/23/2021 12:00,0.113265976,0.569851267,29.8544041,31/44
GREEN RIVER,10/23/2021 12:00,0.274384831,0.81753222,34.84346625,30.55/39.5
STAGHORN,10/23/2021 12:00,0,0,30.11683015,31/46
CONINE,10/23/2021 12:00,0,0,30.19004943,28/40
NAPOLEON,10/23/2021 12:00,0,0.395686244,29.03657001,31/45
MACIEL,10/23/2021 12:00,0.024137863,0.387991555,34.51105912,28/42
BADGER,10/23/2021 12:00,0,1.751723701,30.75899291,31/46
CARMELITA,10/23/2021 12:00,0,0.136929722,32.44850821,31/46
DUKE,10/23/2021 12:00,0.083248471,0,29.69547518,30/46
AMBERCREST,10/23/2021 12:00,0,0,28.3504369,31/44
LYONS,10/23/2021 12:00,0.47894559,0.139798836,26.31703503,31/46
HAMPSHIRE,10/23/2021 12:00,0.384295454,0.347670993,31.96488733,31/45
SAND CANYON,10/23/2021 12:00,0,0,32.28767612,31/46
GOLDSMITH,10/23/2021 12:00,0.280146136,0,25.10192828,31/45
LANGER,10/23/2021 12:00,0,0.67188783,34.39344875,31/45
MORGANSTEIN,10/23/2021 12:00,0,0,34.11270591,31/46
ROSA,10/23/2021 12:00,0.037204754,0.3183881,30.79951754,31/46
ENERGY,10/23/2021 12:00,0.614829006,0.761346442,26.83100052,31/46
WHITECLIFF,10/23/2021 12:00,0,0,28.91111825,31/46
BUCKNER,10/23/2021 12:00,0,0,31.82293541,31/45
ERRINGER,10/23/2021 12:00,0,0,31.20589427,31/45
HILLCREST,10/23/2021 12:00,0,0,24.66780207,31/45
FROZEN,10/23/2021 12:00,0,0,33.64590095,31/46
TUBA,10/23/2021 12:00,0,1.469137761,30.39024527,31/46
SNOW VALLEY,10/23/2021 12:00,0,1.013456796,32.75512297,31/46
CONDOR,10/23/2021 12:00,0.120710445,0,29.04579459,31/46
JONAGOLD,10/23/2021 12:00,0.218958824,0.625842374,24.88231107,28/39
OAK GLEN,10/23/2021 12:00,0,0.701195442,31.03679045,27/41
PLATEAU,10/23/2021 12:00,0,0.885738643,31.26962098,31/46
ZONE,10/23/2021 12:00,0.061818799,0,31.2853592,31/46
BLACKHILLS,10/23/2021 12:00,0.134171882,0.781211773,34.77430987,31/46
LARCH,10/23/2021 12:00,0,0.31818293,30.89743942,31/46
CALGROVE,10/23/2021 12:00,0,0,32.51519806,31/46
DIAMONDBACK,10/23/2021 12:00,0,0,26.55885109,31/42
BELPAC,10/23/2021 12:00,0,0,27.42753433,31/42.42
SAGINAW,10/23/2021 12:00,0,0.357855044,34.0402095,24/40
MOCCASIN,10/23/2021 12:00,0.261439694,0.30123587,33.70872499,31/46
TOGA,10/23/2021 12:00,0.138337494,0,34.75241653,31/41.7
METTLER,10/23/2021 12:00,0.219927747,0,30.05135962,23/37
CAESAR,10/23/2021 12:00,0,0,29.52680131,31/45
PYTHON,10/23/2021 12:00,0.112635801,0,27.97081333,31/46
KINSEY,10/23/2021 12:00,0.218925313,0.026367523,35.83766142,31/46
CUDDEBACK,10/23/2021 12:00,0.254219218,0,30.50621135,23/37
BOUQUET,10/23/2021 12:00,0.209405697,0.079925947,28.86166536,31/46
ANTON,10/23/2021 12:00,0,0,28.22906319,31/46
RED BOX,10/23/2021 12:00,0,0.416657183,35.72942769,31/46
PETIT,10/23/2021 12:00,0.470468599,0,30.98276214,31/46
LAUDA,10/23/2021 12:00,0.175864975,0,28.50124305,31/45
ANGUS,10/23/2021 12:00,0.011765978,0,28.77645407,31/46
NAPA,10/23/2021 12:00,0.170231421,2.761831878,35.97214801,28/39
CORSAIR,10/23/2021 12:00,0.240776794,0,29.50967091,30/42
PASCAL,10/23/2021 12:00,0.729640406,0,31.30494193,31/44
VIENTO,10/23/2021 12:00,0,0,32.74622918,31/46
RUSTIC,10/23/2021 12:00,0,0.019454266,31.60001005,31/46
OLIVER,10/23/2021 12:00,0,0,32.02012492,29/42
BIG ROCK,10/23/2021 12:00,0.290703605,0,36.47329869,31/46
LAZARO,10/23/2021 12:00,0,0.970250478,29.52592431,28/40
CHAWA,10/23/2021 12:00,0.434900504,0.359662291,30.17556368,31/46
IMPALA,10/23/2021 12:00,0,0.594071751,27.2895985,31/46
NORTHPARK,10/23/2021 12:00,0.083627804,0.705220092,32.02608681,31/46
RMV 1243,10/23/2021 12:00,0.153834144,1.487912586,30.51600327,31/46
JORDAN,10/23/2021 12:00,0,0,28.31887248,27/46
VARGAS,10/23/2021 12:00,0.537900041,0,31.83795305,31/46
CASTRO,10/23/2021 12:00,0,0,30.01918881,29/46
GILLIBRAND,10/23/2021 12:00,0.040818236,0,29.0920434,31/46
MORELLO,10/23/2021 12:00,0.131636513,0,28.3920374,31/45
GABBERT,10/23/2021 12:00,0.053414168,0,28.36850629,31/46
PYLE,10/23/2021 12:00,0.053778625,0.17578828,28.29418611,28/44
LOCKNER,10/23/2021 12:00,0,0.528926675,29.48624003,31/45
MIDDLE ROAD,10/23/2021 12:00,0.244652163,0,28.49504523,26/42
VETERANS,10/23/2021 12:00,0,0,36.65378704,31/46
CUTHBERT,10/23/2021 12:00,0,0.037025132,31.36652712,31/46
TAIWAN,10/23/2021 12:00,0.045744781,1.155025246,28.48266024,31/46
DAVENPORT,10/23/2021 12:00,0.448426734,0.575228825,34.0858605,31/46
FINGAL,10/23/2021 12:00,0.374276118,0.291633693,28.48358183,31/46
FLAKE,10/23/2021 12:00,0,0,33.4792442,28/36
ROUNDEL,10/23/2021 12:00,0,0,32.32529916,31/44
SHOVEL,10/23/2021 12:00,0,0.513218388,29.72146761,25/40
STUBBY,10/23/2021 12:00,0.606332761,0.909887606,31.8930823,31/46
STORES,10/23/2021 12:00,0,0,25.88361832,31/46
ESTABAN,10/23/2021 12:00,0,1.088383752,31.49533798,31/45
LOPEZ,10/23/2021 12:00,0.597715467,0.269662623,35.42922491,31/46
TAPO,10/23/2021 12:00,0,0,32.12419403,31/46
BING,10/23/2021 12:00,0.264635882,0,29.14524119,31/45
OAK KNOLL,10/23/2021 12:00,0,0,32.92217662,31/46
SCHMIDT,10/23/2021 12:00,0,0,32.23712482,31/44
PICK,10/23/2021 12:00,0.023038145,0.80499768,33.63371728,31/46
AMETHYST,10/23/2021 12:00,0.311757112,0.331448786,34.57691558,31/46
STAR ROCK,10/23/2021 12:00,0.248104353,0.017362778,33.42912995,31/44
CALSTATE,10/23/2021 12:00,0,0,29.10062715,31/46
MODJESKA,10/23/2021 12:00,0.095743499,0,33.61714532,30/44
GUITAR,10/23/2021 12:00,0.06814817,0,33.61631449,31/46
COLLINS,10/23/2021 12:00,0.22832287,0,23.93879474,31/43
LOUCKS,10/23/2021 12:00,0,0.321489316,36.26864678,31/46
RANIER,10/23/2021 12:00,0.204641372,0,34.11068921,31/45
CLUB OAKS,10/23/2021 12:00,0.059651225,0,27.51526903,31/46
ECHO,10/23/2021 12:00,0,1.790094297,31.19893125,31/46
FERRARA,10/23/2021 12:00,0.045024723,0,27.03209312,31/46
TAHQUITZ,10/23/2021 12:00,0.282477196,0,33.13922429,31/46
GALENA,10/23/2021 12:00,0.630287983,0,30.38467433,31/46
GOWAN,10/23/2021 12:00,0.235668085,0.217765734,27.14915904,31/46
HILLFIELD,10/23/2021 12:00,0.422296966,0.901250716,33.48506602,31/46
WOBEGONE,10/23/2021 12:00,0,0.553129117,33.67628616,28/40
JEEP,10/23/2021 12:00,0,0,31.54844484,27/43
